Constituency,Total_Pop,Male_Pop,Femal_Pop,Sex_Ratio,Intersex_Pop,Land_Area,Pop_Density,HH_No,HH_Size
DAGORETTI,434208,217651,216526,100.5195681,31,29.1,14908,155089,3
EMBAKASI,988808,492476,496270,99.23549681,62,86.3,11460,347955,3
KAMUKUNJI,268276,136670,131599,103.8533727,7,10.5,25455,84365,3
KASARANI,780656,381234,399385,95.45526247,37,86.2,9058,271290,3
LANGATA,197489,96698,100774,95.95530593,17,216.8,911,62239,3
KIBRA,185777,94199,91569,102.8721511,9,12.1,15311,61690,3
MAKADARA,189536,96369,93157,103.4479427,10,11.7,16150,70361,3
NJIRU,626482,307642,318809,96.4972758,31,129.9,4821,204563,3
MATHARE,206564,106522,100028,106.4921822,14,3,68941,74967,3
STAREHE,210423,109173,101238,107.837966,12,20.6,10205,69389,3
WESTLANDS,308854,153818,155021,99.22397611,15,97.5,3167,104980,3
